date,,平均,平均,合計,最大,,avg,max,min,平均,最小,平均,最大風速,,最大瞬間風速,,(h),降雪,最深積雪,昼,夜,place
2023/6/11,11,1009.6,1013.7,--,--,--,16.7,21.5,13.6,85,70,6,9.4,南南東,14.7,南南東,12.5,--,--,,,suttsu
2023/6/12,12,1005.2,1009.4,--,--,--,18.2,21.6,16,85,71,6.9,9.2,南南東,15.6,南東,12.3,--,--,,,suttsu
2023/6/13,13,1001.1,1005.2,0,0,0,16.9,19.4,15,86,76,6.5,9.2,南南東,16,南南東,1.7,--,--,,,suttsu
2023/6/14,14,1004,1008.1,2.5,2,1.5,17.5,21.4,15.3,92,74,2.3,4.8,北北西,7.5,南南東,2,--,--,,,suttsu
2023/6/15,15,1004.7,1008.9,--,--,--,17.7,21.3,15.2,86,74,5.8,8.8,南南東,13.1,南南東,12.3,--,--,,,suttsu
2023/6/16,16,1003.6,1007.7,--,--,--,19.1,24,15.1,84,60,2.8,6.5,南南東,9.8,南南東,9.4,--,--,,,suttsu
2023/6/17,17,1000.6,1004.7,--,--,--,20.7,24.7,14.5,73,55,3.8,7.9,西南西,15.5,西,7.7,--,--,,,suttsu
2023/6/18,18,1002.5,1006.7,--,--,--,17.4,20.8,14.4,70,51,4.5,7.2,北北西,10.4,北西,12.5,--,--,,,suttsu
2023/6/19,19,1005.1,1009.2,--,--,--,16.4,18.9,13.3,72,60,4.2,6.8,北北西,9.9,北西,14.1,--,--,,,suttsu
2023/6/20,20,1007.1,1011.2,--,--,--,18.3,23.8,12.1,67,39,2.2,5.8,西北西,9.6,西北西,11.8,--,--,,,suttsu
2023/6/21,21,1007.5,1011.6,--,--,--,20.4,25.8,13.3,59,40,3.6,8.3,南,13.6,南,12.7,--,--,,,suttsu
2023/6/22,22,1005.4,1009.5,0,0,0,19.6,22.5,17.4,72,54,7.3,9.9,南東,16.6,南南東,3.8,--,--,,,suttsu
2023/6/23,23,1006.3,1010.4,1,0.5,0.5,17.2,20.5,14.9,86,74,4.6,7.6,南南東,13.1,南南東,0,--,--,,,suttsu
2023/6/24,24,1010.5,1014.7,0.5,0.5,0.5,17,21.4,13.9,83,68,5.3,7.4,南南東,13.4,南東,6.4,--,--,,,suttsu
2023/6/25,25,1011.7,1015.9,--,--,--,19.6,24.5,13.8,81,62,2.6,5.4,北北西,7.9,西,12.9,--,--,,,suttsu
2023/6/26,26,1010.4,1014.5,--,--,--,19.9,24.6,16.2,83,66,4.1,8.2,南南東,13.1,南南東,9.6,--,--,,,suttsu
2023/6/27,27,1007.1,1011.2,0,0,0,19.7,24.9,16.5,83,64,7.3,10.4,南南東,15.7,南南東,7.4,--,--,,,suttsu
2023/6/28,28,1001.3,1005.4,0.5,0.5,0.5,21.8,25.4,18.8,86,76,4.9,7.8,南,13.3,南,0.8,--,--,,,suttsu
2023/6/29,29,999.3,1003.3,--,--,--,22.8,26.8,20.1,84,67,3.1,5.6,南東,9.1,南南東,4.8,--,--,,,suttsu
2023/6/30,30,996.1,1000.1,30,15,4.5,21.4,24,19.6,89,74,3.8,6.8,南南東,11,南,0.2,--,--,,,suttsu
